Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam
CAPE HARMONY,,,17.9 m,-,7 days ago,9514212 / 373009000,3FIB3,Panama,292 / 45 m,
NORWEGIAN DAWN,-,-,,8.6 m,Under way,4 min ago,9195169 / 311307000,C6FT7,Bahamas,295 / 32 m
MOUNT K2,-,-,,18.0 m,-,8 days ago,9546980 / 636020471,D5ZJ8,Liberia,292 / 45 m
ZAMPA BLUE,-,-,55.1° / 7.1 kn,10.5 m,-,54 days ago,9454163 / 372549000,3FYS6,Panama,292 / 45 m
CAPE CELTIC,-,-,76° / 9.7 kn,11.9 m,-,8 days ago,9409144 / 354526000,3FUO8,Panama,292 / 45 m
CASANOVA,,,30.6° / 9.6 kn,18.0 m,-,39 hours ago,9454151 / 311001425,C6HC8,Bahamas,292 / 45 m
MOUNT AUSTIN,-,-,353° / 9.8 kn,18.0 m,-,2 days ago,9409118 / 636017268,D5KC4,Liberia,292 / 45 m
LEO FELICITY,-,-,0° / 0.0 kn,17.2 m,Moored,5 hours ago,9409091 / 354931000,3FQG6,Panama,292 / 45 m
PACIFIC WEST,-,-,,8.6 m,-,2 days ago,9604029 / 538004758,V7YX5,Marshall Islands,292 / 44 m
MSC ELLEN,-,-,,10.3 m,Under way,10 hours ago,9166780 / 636020729,5LAK6,Liberia,346 / 42 m
MSC VILDA X,-,-,,15.1 m,Moored,1 min ago,9146479 / 636020728,5LAK5,Liberia,347 / 43 m
CHASTINE MAERSK,,,12.1 m,-,20 hours ago,9219800 / 563084400,9V6205,Singapore,347 / 42 m,
MSC JASMINE X,-,-,,9.2 m,-,4 days ago,9214903 / 636022655,5LJV3,Liberia,347 / 43 m
CAPE XL,-,-,,11.7 m,-,13 days ago,9590826 / 538010483,V7A6104,Marshall Islands,292 / 45 m
PACIFIST,,,,16.0 m,Under way,8 hours ago,9573775 / 636020330,D5YS6,Liberia,292 / 45 m
LAKE D,,,,17.7 m,Under way,2 min ago,9590840 / 352979000,3FKW,Panama,292 / 45 m
ICONSHIP,,,,16.0 m,-,4 days ago,9641895 / 636024010,5LQN3,Liberia,292 / 45 m
GEORGE ISLAND,,,,18.2 m,-,3 days ago,9573749 / 636022306,5LID4,Liberia,292 / 45 m
BERGE ISHIZUCHI,-,-,,9.2 m,At anchor,2 min ago,9446570 / 232045296,MMUZ5,United Kingdom (UK),292 / 45 m
FRONTIER YOUTH,,,,17.4 m,-,3 days ago,9650779 / 352623000,3FPE,Panama,292 / 45 m
UNITED CROWN,,,,17.1 m,-,41 hours ago,9660023 / 353297000,3FFL4,Panama,292 / 45 m
JIN CHENG,,,,18.3 m,-,3 days ago,9633214 / 477019100,VRWG9,Hong Kong,292 / 45 m
GREEN UNIVERSE,-,-,,11.9 m,-,12 days ago,9573751 / 563109600,9V6845,Singapore,292 / 45 m
BERGE TSURUGI,,,354° / 9.0 kn,15.3 m,-,30 hours ago,9599810 / 636019376,D5UF3,Liberia,292 / 45 m
BULK TIRRENO,,,,18.3 m,-,14 hours ago,9624263 / 636022610,5LJQ3,Liberia,291 / 45 m
MARIA,,,,12.2 m,-,11 days ago,9568005 / 210396000,5BYX5,Cyprus,292 / 45 m
CAPE PHOENIX,,,,18.5 m,-,6 days ago,9598139 / 636021281,5LDE3,Liberia,292 / 45 m
PACIFIC TREASURE,,,,8.6 m,-,4 days ago,9604988 / 357952000,3EZA3,Panama,292 / 45 m
CAPE LILY,,,,16.1 m,-,10 days ago,9612430 / 566524000,9V8843,Singapore,291 / 45 m
FRONTIER GARLAND,-,-,,9.3 m,-,26 days ago,9590890 / 355290000,3FXX7,Panama,296 / 45 m
CAPE MAGNOLIA,,,,17.4 m,Under way,5 hours ago,9573787 / 601027720,ZU ZZ,South Africa,292 / 45 m
BERGE MCCLINTOCK,-,-,,9.5 m,Under way,0 min ago,9590852 / 636018273,D5OY8,Liberia,292 / 45 m
WEN YUAN STAR,-,-,,8.6 m,-,5 days ago,9614933 / 373548000,3EXL8,Panama,292 / 45 m
MOUNT LOGAN,-,-,274.5° / 0.0 kn,11.4 m,At anchor,6 min ago,9641900 / 636020969,5LBP9,Liberia,292 / 45 m
XUAN YUAN STAR,,,,9.5 m,-,27 hours ago,9675688 / 356612000,3FEW2,Panama,292 / 45 m
CENTENNIAL HARMONY,-,-,,8.4 m,-,11 days ago,9590838 / 354205000,HOKS,Panama,292 / 45 m
CAPE BUZZARD,,,,18.2 m,Constrained,1 min ago,9446623 / 636015310,A8ZW9,Liberia,292 / 45 m
FORTUNE VIOLET,-,-,,15.2 m,-,17 days ago,9614921 / 477098300,VRKL7,Hong Kong,292 / 45 m
CAPE ALEXANDROS,-,-,,8.4 m,-,6 days ago,9489302 / 636014481,A8UF2,Liberia,292 / 45 m
CAPE KESTREL,-,-,,17.7 m,Moored,2 min ago,9767510 / 636019502,D5MF7,Liberia,292 / 45 m
BERGE MAWSON,,,,17.8 m,Under way,5 hours ago,9738868 / 232016910,MDNH4,United Kingdom (UK),292 / 45 m
BERGE KOSCIUSZKO,-,-,,11.8 m,-,7 days ago,9682954 / 232006581,MAQI7,United Kingdom (UK),292 / 45 m
NAVIOS MARS,,,,16.0 m,-,4 days ago,9747950 / 249143000,9HA6125,Malta,292 / 45 m
CAPRICORN ONE,,,24° / 10.8 kn,18.2 m,-,43 hours ago,9739018 / 564096000,9V3475,Singapore,292 / 45 m
CAPRICORN SIGMA,-,-,89.2° / 0.0 kn,9.2 m,Moored,2 hours ago,9747962 / 564633000,9V3114,Singapore,292 / 45 m
MINERAL HONSHU,-,-,,10.3 m,At anchor,4 min ago,9614892 / 636018674,D5QV7,Liberia,292 / 45 m
LAKE DESPINA,,,,18.2 m,-,5 days ago,9675676 / 210702000,5BYX3,Cyprus,292 / 45 m
HL MIDLAND,-,-,,15.8 m,At anchor,3 min ago,9446532 / 352250000,HPSS,Panama,292 / 45 m
NAVIOS CORALI,,,,17.4 m,-,33 hours ago,9747948 / 374126000,3FLT7,Panama,292 / 45 m
LUCY OLDENDORFF,-,-,,11.4 m,At anchor,3 min ago,9691553 / 636093282,D5SM2,Liberia,292 / 45 m
NEW ADMIRE,-,-,,8.7 m,Under way,3 hours ago,9738844 / 374459000,3ECJ4,Panama,292 / 45 m
CARNIVAL LUMINOSA,-,-,,8.2 m,Moored,2 min ago,9398905 / 311001201,C6GB6,Bahamas,294 / 32 m
COSTA DELIZIOSA,-,-,,8.1 m,-,19 hours ago,9398917 / 247282900,IBJD,Italy,294 / 32 m
NAVIOS AZIMUTH,,,72.1° / 9.0 kn,18.3 m,-,6 days ago,9589839 / 354368000,3FUN5,Panama,292 / 45 m
NAVIOS ETOILE,,,,18.3 m,-,14 days ago,9481312 / 372160000,3FKN3,Panama,292 / 45 m
NAVIOS BUENA VENTURA,,,,17.8 m,-,2 days ago,9481233 / 353933000,3EVX8,Panama,292 / 45 m
