Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

CL YELLOW RIVER,,,,9.2 m,-,4 days ago,9844576 / 636018988,D5SK2,Liberia,300 / 50 m,9844576
CL VOLGA RIVER,-,-,,11.8 m,-,9 days ago,9844552 / 636018986,D5SJ8,Liberia,300 / 50 m,9844552
CL LIUZHOU,-,-,,9.4 m,-,17 days ago,9854533 / 636018991,D5SK5,Liberia,300 / 50 m,9854533
GRAND PRINCESS,,,,8.7 m,-,28 hours ago,9104005 / 310327000,ZCBU5,Bermuda,290 / 36 m,9104005
MINERAL EDO,-,-,172.6° / 14.7 kn,4.9 m,-,9 days ago,9727352 / 373449000,3FIR3,Panama,299 / 50 m,9727352
AKADIMOS,-,-,,13.9 m,At anchor,1 hour ago,9736729 / 636024285,5LRW3,Liberia,300 / 50 m,9736729
PAN UNIVERSAL,-,-,,19.2 m,-,9 days ago,9736731 / 636024546,5LTC9,Liberia,300 / 50 m,9736731
JASPER DREAM,-,-,,8.5 m,-,9 days ago,9567996 / 636024266,5LRT8,Liberia,299 / 50 m,9567996
JUDD,-,-,39° / 7.5 kn,18.5 m,-,3 days ago,9639476 / 248177000,9HA4549,Malta,300 / 50 m,9639476
MORANDI,-,-,339.1° / 11.3 kn,18.4 m,-,32 days ago,9627837 / 248172000,9HA4545,Malta,300 / 50 m,9627837
BACON,,,142.9° / 11.3 kn,17.9 m,-,4 days ago,9639517 / 636093179,5LLK5,Liberia,300 / 50 m,9639517
MARINI,-,-,,10.8 m,At anchor,11 hours ago,9639529 / 248173000,9HA4546,Malta,300 / 50 m,9639529
NISEKO QUEEN,-,-,,12.0 m,-,13 days ago,9889289 / 373387000,3FMS5,Panama,300 / 50 m,9889289
HUGE KUMANO,-,-,53.4° / 9.5 kn,11.2 m,-,25 days ago,9889277 / 353662000,3FQN5,Panama,300 / 50 m,9889277
FRIEDRICH OLDENDORFF,,,,18.4 m,Constrained,4 hours ago,9889265 / 374052000,3FPT7,Panama,299 / 50 m,9889265
FIRST PENGUIN,,,,9.3 m,-,3 days ago,9922691 / 352980794,3E3534,Panama,300 / 50 m,9922691
SOUTHERN CROSS,,,,12.1 m,-,8 days ago,9891907 / 357586000,3FKO3,Panama,300 / 50 m,9891907
FIRST ALBATROSS,-,-,,8.6 m,At anchor,1 min ago,9974096 / 352003042,3E6591,Panama,300 / 50 m,9974096
CSK UNITED,-,-,245.5° / 9.2 kn,10.4 m,-,13 days ago,9801213 / 563029100,9V5142,Singapore,299 / 50 m,9801213
CSK ENTERPRISE,-,-,,17.7 m,At anchor,2 min ago,9816555 / 563053800,9V2929,Singapore,299 / 50 m,9816555
SOLAR LEGEND,-,-,,8.1 m,-,6 days ago,9757589 / 538006760,V7OP5,Marshall Islands,299 / 50 m,9757589
AZUL COSTA,-,-,,9.0 m,At anchor,2 min ago,9889291 / 354439000,3FHK4,Panama,299 / 50 m,9889291
LYDIA OLDENDORFF,,,,9.5 m,Under way,11 hours ago,9699634 / 636016585,D5GW5,Liberia,300 / 50 m,9699634
BERGE DAISEN,-,-,344.6° / 10.7 kn,8.7 m,-,9 days ago,9675652 / 352001030,3FYI7,Panama,299 / 50 m,9675652
EVER SHINE,-,-,,18.1 m,-,11 days ago,9600437 / 563820000,9V3162,Singapore,300 / 50 m,9600437
KARMOL LNGT AFRICA,-,-,,10.2 m,Moored,6 hours ago,9043677 / 636019705,D5VT5,Liberia,272 / 47 m,9043677
ORIENTAL DRAGON,-,-,,9.5 m,At anchor,2 min ago,9683104 / 477979700,VRWD4,Hong Kong,299 / 50 m,9683104
HISUI HORIZON,-,-,,11.0 m,At anchor,2 min ago,9707546 / 431139000,7JTI,Japan,299 / 50 m,9707546
NEWPORT NEWS,-,-,,9.2 m,At anchor,2 min ago,9696759 / 538006280,V7LH5,Marshall Islands,300 / 50 m,9696759
SAN FRANCISCO,-,-,,10.7 m,-,47 hours ago,9696747 / 538006279,V7LG9,Marshall Islands,300 / 50 m,9696747
SOLAR DOLPHIN,-,-,,9.4 m,At anchor,1 min ago,9700184 / 372783000,3FKA8,Panama,300 / 50 m,9700184
ITALIS LNG,-,-,,11.0 m,Moored,10 min ago,9655808 / 247453200,IBAX,Italy,293 / 44 m,9655808
CAPE HOPE,-,-,27.8° / 12.7 kn,15.4 m,-,27 hours ago,9700823 / 352286000,3FNK4,Panama,299 / 50 m,9700823
CAPE HARVEST,-,-,,18.3 m,-,40 days ago,9713442 / 372754000,3FIT2,Panama,299 / 50 m,9713442
MINERAL UTAMARO,-,-,,11.7 m,-,20 days ago,9748100 / 374374000,3ESI8,Panama,299 / 50 m,9748100
JUNO HORIZON,,,,18.1 m,-,3 days ago,9759989 / 431800000,7KCJ,Japan,300 / 50 m,9759989
INO HORIZON,-,-,,10.2 m,-,3 days ago,9759977 / 431865000,7KCI,Japan,300 / 50 m,9759977
SAMJOHN DREAM,-,-,,11.1 m,At anchor,3 hours ago,9612064 / 538007338,V7KF3,Marshall Islands,300 / 50 m,9612064
SAMJOHN VISION,-,-,,11.2 m,At anchor,2 min ago,9612076 / 538007464,V7PA7,Marshall Islands,300 / 50 m,9612076
FOMENTO FOUR,,,,18.2 m,-,3 days ago,9783320 / 563082700,9V6147,Singapore,300 / 50 m,9783320
FOMENTO THREE,-,-,,8.7 m,-,3 days ago,9783318 / 563040500,9V5755,Singapore,300 / 50 m,9783318
SM LION,,,,9.3 m,-,4 days ago,9723899 / 374382000,3EKG8,Panama,300 / 50 m,9723899
MAX WARRIOR,-,-,311.5° / 3.1 kn,17.9 m,-,8 days ago,9600425 / 636016346,D5FR7,Liberia,300 / 50 m,9600425
HUAHINE,-,-,,18.5 m,-,11 days ago,9587257 / 229387000,9HA3291,Malta,300 / 50 m,9587257
